53.490679, -113.554889
53.490679, -113.552689
53.490679, -113.550489
53.491279, -113.554889
53.491279, -113.552689
53.491279, -113.550489
53.491879, -113.554889
53.491879, -113.552689
53.491879, -113.550489
53.492478999999996, -113.557089
53.492478999999996, -113.554889
53.492478999999996, -113.552689
53.492478999999996, -113.550489
53.493078999999994, -113.557089
53.493078999999994, -113.554889
53.493078999999994, -113.552689
53.493078999999994, -113.550489
53.49367899999999, -113.557089
53.49367899999999, -113.554889
53.49367899999999, -113.552689
53.49367899999999, -113.550489
53.49427899999999, -113.557089
53.49427899999999, -113.554889
53.49427899999999, -113.552689
53.49487899999999, -113.557089
53.49487899999999, -113.554889
53.49487899999999, -113.552689
